link_id,demand_ab,demand_ba,demand_tot,Preload_AB,Preload_BA,Preload_tot,Congested_Time_AB,Congested_Time_BA,Congested_Time_Max,Delay_factor_AB,Delay_factor_BA,Delay_factor_Max,VOC_AB,VOC_BA,VOC_max,PCE_AB,PCE_BA,PCE_tot
7853,586.3486656928653,627.5046501094129,1213.8533158022783,0.0,0.0,0.0,0.21401431620392156,0.21576974882823252,0.21576974882823252,1.027023710895811,1.0354477778462179,1.0354477778462179,0.651498517436517,0.6972273890104588,0.6972273890104588,5863.486656928653,6275.046501094128,12138.533158022783
7854,586.3486656928653,627.5046501094129,1213.8533158022783,0.0,0.0,0.0,0.13141998731621296,0.13249794760089595,0.13249794760089595,1.027023710895811,1.0354477778462179,1.0354477778462179,0.651498517436517,0.6972273890104588,0.6972273890104588,5863.486656928653,6275.046501094128,12138.533158022783
7855,586.3486656928653,627.5046501094129,1213.8533158022783,0.0,0.0,0.0,0.024826293504345225,0.025029928879451258,0.025029928879451258,1.027023710895811,1.0354477778462179,1.0354477778462179,0.651498517436517,0.6972273890104588,0.6972273890104588,5863.486656928653,6275.046501094128,12138.533158022783
7856,586.3486656928653,627.5046501094129,1213.8533158022783,0.0,0.0,0.0,0.13595185604217583,0.13706698856071567,0.13706698856071567,1.027023710895811,1.0354477778462179,1.0354477778462179,0.651498517436517,0.6972273890104588,0.6972273890104588,5863.486656928653,6275.046501094128,12138.533158022783
7857,586.3486656928653,627.5046501094129,1213.8533158022783,0.0,0.0,0.0,0.016325887880192624,0.01645979946477291,0.01645979946477291,1.027023710895811,1.0354477778462179,1.0354477778462179,0.651498517436517,0.6972273890104588,0.6972273890104588,5863.486656928653,6275.046501094128,12138.533158022783
7858,586.3486656928653,627.5046501094129,1213.8533158022783,0.0,0.0,0.0,0.08941169782452156,0.0901450890019914,0.0901450890019914,1.027023710895811,1.0354477778462179,1.0354477778462179,0.651498517436517,0.6972273890104588,0.6972273890104588,5863.486656928653,6275.046501094128,12138.533158022783
7859,586.3486656928653,627.5046501094129,1213.8533158022783,0.0,0.0,0.0,0.20271098191078638,0.20437369998154029,0.20437369998154029,1.027023710895811,1.0354477778462179,1.0354477778462179,0.651498517436517,0.6972273890104588,0.6972273890104588,5863.486656928653,6275.046501094128,12138.533158022783
7860,801.1178408900436,813.1515903396761,1614.2694312297197,0.0,0.0,0.0,0.2158316832330631,0.21697318156381112,0.21697318156381112,1.094168756505782,1.0999556353847244,1.0999556353847244,0.8901309343222706,0.9035017670440846,0.9035017670440846,8011.178408900435,8131.51590339676,16142.694312297195
7861,801.1178408900436,813.1515903396761,1614.2694312297197,0.0,0.0,0.0,0.013511870407198198,0.013583332470988179,0.013583332470988179,1.094168756505782,1.0999556353847244,1.0999556353847244,0.8901309343222706,0.9035017670440846,0.9035017670440846,8011.178408900435,8131.51590339676,16142.694312297195
7862,801.1178408900436,813.1515903396761,1614.2694312297197,0.0,0.0,0.0,0.31069795736256123,0.3123411878391229,0.3123411878391229,1.094168756505782,1.0999556353847244,1.0999556353847244,0.8901309343222706,0.9035017670440846,0.9035017670440846,8011.178408900435,8131.51590339676,16142.694312297195
