origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
64,1,6,5,70,5,168,2,8,51,37,7,7,14,8,14,19,7,3,8,5,25,8,19,44,7,7,16,42,4,17,27,10,2,5,3,171,12,10,20,10,5,39,8,81,14,11,33,254,117,95,20,4,20,9,128,4,39,7,2,19,6,15,116,43,20,37,16,7,8,23,5,8,7,6,10,26,11,5,10,26
65,1,3,3,33,3,47,1,6,17,11,3,4,7,2,5,7,2,1,4,5,15,3,12,16,3,3,11,20,2,8,16,3,1,4,1,124,3,7,17,3,2,21,4,43,12,7,25,148,52,62,9,2,8,5,107,1,21,4,1,8,7,12,53,5,61,19,21,3,3,6,3,4,4,6,6,22,4,2,4,14
66,2,10,8,110,8,265,3,13,72,43,10,12,27,9,18,24,9,4,12,10,45,18,37,57,10,11,27,70,6,24,52,12,3,9,4,493,13,23,45,13,7,66,13,146,26,18,64,517,207,213,31,6,26,15,375,5,64,11,4,25,15,28,237,23,49,184,34,9,13,24,9,14,12,12,17,56,14,6,13,46
67,3,17,15,143,14,174,10,38,66,45,15,20,30,11,22,32,7,6,25,32,64,11,48,82,15,19,66,81,11,43,62,16,4,30,8,399,12,30,60,16,9,112,23,174,87,43,107,551,196,218,35,11,39,25,335,7,110,19,7,38,26,70,193,18,102,63,439,15,15,24,15,24,21,41,30,109,17,9,20,58
68,0,3,2,23,2,23,1,4,10,10,17,2,3,4,5,13,1,2,11,2,8,1,5,69,14,3,11,11,2,35,7,8,4,3,1,35,2,2,5,6,5,16,4,21,8,9,10,59,25,21,5,2,35,4,27,5,18,3,1,38,2,7,22,3,5,6,6,37,2,7,2,4,3,2,5,7,5,6,6,7
69,3,17,14,57,4,127,2,9,35,26,8,6,49,7,11,17,9,3,9,6,22,6,17,49,9,18,18,33,11,19,23,11,2,6,8,179,13,25,19,9,5,126,22,67,17,12,31,217,89,85,15,11,24,26,150,5,109,18,7,23,7,16,93,14,25,37,22,8,104,18,15,23,20,7,28,64,9,5,8,22
70,1,6,6,70,5,103,2,8,42,45,11,6,11,13,17,29,5,5,10,5,23,5,17,71,11,7,18,38,4,23,23,18,3,5,3,125,13,8,17,17,9,40,9,71,15,13,30,205,93,74,19,4,31,10,95,6,42,7,2,30,5,16,86,16,16,25,14,10,7,79,6,9,8,5,11,22,16,7,12,24
71,32,210,114,9,1,15,0,2,5,4,2,1,4,1,2,3,1,1,2,1,4,1,3,11,2,213,4,5,117,5,4,2,1,1,77,24,2,3,3,2,1,162,277,10,4,3,5,32,13,12,2,82,6,182,20,1,1368,250,60,5,1,3,13,2,4,5,4,2,3,3,408,357,222,1,225,10,2,1,2,4
72,27,176,132,9,1,15,0,2,5,4,2,1,4,1,2,3,1,1,2,1,4,1,3,11,2,213,4,5,126,5,4,2,1,1,66,24,2,3,3,2,1,154,307,10,4,3,5,32,13,12,2,72,6,163,20,1,1259,304,52,5,1,3,13,2,4,4,4,2,3,3,221,679,268,1,260,10,2,1,2,3
73,11,67,98,5,0,7,0,1,2,2,1,1,2,1,1,2,0,0,1,1,2,0,1,5,1,89,2,3,59,2,2,1,0,1,26,12,1,1,1,1,1,72,138,5,2,1,3,16,6,6,1,29,3,67,10,1,490,140,20,3,1,2,6,1,2,2,2,1,1,1,79,153,335,1,184,5,1,0,1,2
74,1,6,6,81,9,79,6,23,34,24,8,12,11,6,12,17,3,3,13,22,37,5,27,41,7,7,39,44,4,22,33,8,2,17,3,175,5,10,31,8,5,41,9,95,46,24,64,285,101,108,19,4,19,10,140,4,42,7,2,19,13,48,94,9,38,28,51,8,6,12,6,9,8,52,11,34,9,4,11,33
75,26,162,354,15,1,24,1,3,8,6,3,2,6,2,3,5,1,1,4,2,6,1,4,18,4,237,6,8,164,8,6,3,1,2,64,38,3,4,5,3,2,210,354,17,7,5,8,52,21,20,4,76,9,179,32,2,1247,290,52,9,2,5,21,3,6,7,7,3,4,4,181,337,418,2,1771,16,2,2,3,6
76,4,24,21,98,8,178,5,18,54,37,12,12,60,9,17,25,9,5,16,14,41,10,32,68,12,26,35,57,15,31,42,14,3,13,11,349,13,64,39,13,7,181,32,120,39,24,62,398,152,161,26,16,33,36,310,6,156,27,9,32,15,34,158,18,66,62,66,12,26,22,21,34,29,16,41,818,13,7,14,39
77,0,3,2,46,4,42,1,5,21,25,7,4,4,8,13,22,2,4,7,3,14,2,10,37,6,3,12,22,2,14,13,8,2,3,1,60,4,3,9,11,5,17,4,41,9,8,18,111,49,39,11,2,16,4,45,3,18,3,1,16,3,10,42,6,8,11,8,6,3,12,2,4,3,3,5,10,23,4,10,15
78,0,2,2,22,2,22,1,3,10,10,11,2,3,4,5,15,1,3,7,2,7,1,5,61,8,2,9,11,1,18,7,9,2,2,1,32,2,2,5,7,6,13,3,20,6,7,9,56,24,20,5,1,24,3,25,4,14,2,1,24,2,6,21,3,5,6,5,9,2,7,2,3,3,2,4,6,5,13,6,7
79,0,3,2,50,5,37,2,7,19,19,7,5,4,6,11,19,2,4,9,4,16,2,10,36,6,3,16,23,2,17,14,7,2,4,1,59,3,3,10,9,5,17,4,43,11,11,20,112,47,39,11,2,16,4,45,3,18,3,1,16,3,13,40,5,9,11,9,7,2,9,2,4,3,4,5,10,10,4,26,16
80,1,5,4,123,8,91,3,11,49,32,7,12,9,7,16,19,3,4,10,8,52,6,35,39,6,5,23,75,3,18,48,8,2,7,2,167,6,8,30,9,5,30,6,153,19,14,60,368,145,123,30,3,18,7,123,3,31,5,2,17,9,24,119,11,23,29,20,7,5,14,4,7,6,9,8,22,11,4,12,88
