origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
21,4.0,16.0,12.0,44.0,68.0,12.0,52.0,24.0,8.0,24.0,20.0,24.0,36.0,20.0,76.0,0.0,72.0,24.0,32.0,12.0,400.0,32.0,88.0,8.0,0.0,4.0,8.0,0.0,20.0,40.0,36.0,68.0,28.0,0.0,8.0,24.0,56.0,12.0,0.0,8.0,0.0,16.0,0.0,28.0,0.0,28.0,4.0,40.0,24.0,40.0,40.0,20.0,4.0,36.0,12.0,8.0,28.0,0.0,0.0,0.0,28.0,16.0,12.0,0.0,12.0,40.0,0.0,32.0,8.0,4.0,0.0,20.0,20.0,0.0,20.0,20.0,16.0,24.0,0.0,12.0,12.0,36.0,4.0,8.0,40.0,28.0,28.0,4.0,52.0,12.0,16.0,0.0
22,140.0,20.0,80.0,120.0,176.0,92.0,196.0,132.0,152.0,368.0,56.0,112.0,220.0,456.0,120.0,44.0,168.0,316.0,76.0,136.0,80.0,1344.0,56.0,684.0,20.0,824.0,560.0,0.0,116.0,360.0,228.0,104.0,44.0,56.0,124.0,136.0,128.0,80.0,76.0,540.0,392.0,608.0,16.0,812.0,72.0,76.0,8.0,192.0,240.0,128.0,128.0,196.0,8.0,196.0,56.0,292.0,244.0,4.0,32.0,188.0,420.0,340.0,124.0,380.0,72.0,696.0,72.0,104.0,72.0,20.0,4.0,96.0,200.0,32.0,120.0,76.0,100.0,192.0,0.0,52.0,92.0,144.0,20.0,40.0,112.0,220.0,116.0,0.0,128.0,164.0,192.0,8.0
23,28.0,8.0,48.0,96.0,48.0,72.0,96.0,96.0,24.0,64.0,16.0,20.0,48.0,20.0,64.0,0.0,216.0,48.0,172.0,40.0,192.0,32.0,468.0,36.0,0.0,12.0,28.0,8.0,24.0,92.0,20.0,96.0,52.0,20.0,68.0,36.0,100.0,52.0,52.0,52.0,0.0,36.0,4.0,40.0,12.0,36.0,4.0,68.0,108.0,72.0,68.0,64.0,4.0,52.0,40.0,12.0,88.0,0.0,4.0,0.0,20.0,28.0,24.0,4.0,56.0,28.0,28.0,80.0,32.0,8.0,0.0,32.0,44.0,4.0,36.0,92.0,40.0,16.0,0.0,48.0,0.0,36.0,8.0,52.0,36.0,56.0,56.0,4.0,80.0,92.0,40.0,8.0
24,4.0,0.0,32.0,28.0,68.0,24.0,56.0,12.0,16.0,56.0,44.0,8.0,72.0,340.0,56.0,4.0,56.0,64.0,20.0,28.0,28.0,312.0,20.0,556.0,16.0,196.0,176.0,0.0,52.0,116.0,100.0,28.0,28.0,36.0,52.0,28.0,44.0,20.0,44.0,224.0,148.0,224.0,8.0,324.0,28.0,56.0,4.0,36.0,36.0,48.0,16.0,44.0,0.0,60.0,4.0,140.0,56.0,8.0,4.0,40.0,284.0,184.0,36.0,96.0,20.0,240.0,36.0,12.0,32.0,16.0,0.0,28.0,44.0,4.0,36.0,16.0,28.0,32.0,0.0,8.0,8.0,32.0,12.0,24.0,28.0,48.0,40.0,0.0,20.0,48.0,60.0,0.0
25,4.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,4.0,12.0,0.0,4.0,320.0,4.0,0.0,120.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,32.0,0.0,0.0,20.0,0.0
26,0.0,0.0,0.0,12.0,20.0,20.0,8.0,4.0,8.0,0.0,4.0,0.0,0.0,32.0,4.0,0.0,0.0,16.0,0.0,4.0,0.0,28.0,0.0,16.0,0.0,996.0,12.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,20.0,28.0,0.0,24.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,28.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0
27,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,32.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,48.0,0.0,28.0,0.0,12.0,432.0,0.0,4.0,24.0,8.0,0.0,4.0,4.0,8.0,4.0,0.0,0.0,4.0,68.0,72.0,84.0,0.0,20.0,4.0,12.0,4.0,8.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,16.0,28.0,48.0,0.0,32.0,4.0,28.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
28,16.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,76.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,148.0,0.0,0.0,144.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,16.0,0.0,4.0,0.0,4.0
29,136.0,48.0,108.0,200.0,80.0,296.0,56.0,140.0,112.0,384.0,76.0,84.0,124.0,28.0,128.0,4.0,116.0,172.0,32.0,84.0,64.0,80.0,92.0,36.0,4.0,68.0,56.0,0.0,260.0,160.0,36.0,68.0,88.0,88.0,80.0,128.0,52.0,76.0,104.0,92.0,12.0,32.0,0.0,60.0,76.0,120.0,24.0,152.0,184.0,92.0,124.0,164.0,20.0,188.0,64.0,28.0,316.0,4.0,0.0,8.0,36.0,88.0,52.0,36.0,56.0,12.0,116.0,76.0,152.0,60.0,0.0,112.0,300.0,20.0,112.0,104.0,108.0,208.0,0.0,40.0,88.0,220.0,40.0,80.0,76.0,168.0,88.0,4.0,184.0,212.0,192.0,0.0
30,76.0,44.0,44.0,60.0,296.0,148.0,256.0,100.0,52.0,144.0,88.0,52.0,208.0,116.0,124.0,4.0,196.0,236.0,44.0,136.0,124.0,136.0,40.0,100.0,0.0,188.0,148.0,0.0,76.0,1052.0,148.0,24.0,84.0,60.0,124.0,72.0,16.0,36.0,204.0,108.0,100.0,128.0,0.0,216.0,68.0,108.0,16.0,120.0,140.0,68.0,32.0,72.0,0.0,268.0,36.0,48.0,128.0,4.0,4.0,44.0,124.0,256.0,196.0,40.0,64.0,84.0,60.0,32.0,60.0,8.0,0.0,72.0,76.0,12.0,60.0,116.0,52.0,92.0,0.0,28.0,32.0,52.0,32.0,24.0,60.0,108.0,72.0,0.0,80.0,48.0,64.0,0.0
