GEOID,NAMELSAD,zone_id,centroid_lon,centroid_lat,area_sq_mi,total_jobs,retail_jobs,health_jobs,education_jobs,accommodation_jobs,govt_jobs,est_population
06061021045,Census Tract 210.45,75,-121.29894159504974,38.75566297723697,0.6066052354960763,1034.0,128.0,14.0,442.0,130.0,0.0,2478.0
06061022400,Census Tract 224,76,-121.23898932091109,38.76484827435554,1.2007524684698694,1625.0,4.0,27.0,82.0,144.0,0.0,3894.0
06061023900,Census Tract 239,77,-121.3278582252159,38.888981612839494,1.6079016921806761,226.0,0.0,5.0,50.0,0.0,0.0,541.0
06061023200,Census Tract 232,78,-121.3263257611015,38.85451896113372,4.985685502579824,2713.0,277.0,46.0,4.0,129.0,0.0,6503.0
06061990000,Census Tract 9900,79,-120.07041862855691,39.140154347675136,76.91029556140286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06061020715,Census Tract 207.15,80,-121.2543801298091,38.72376939354978,0.5646390219658851,562.0,6.0,6.0,476.0,2.0,0.0,1347.0
06061021130,Census Tract 211.30,81,-121.26912933652063,38.80973595871105,0.3587556183011327,168.0,1.0,11.0,47.0,0.0,0.0,402.0
06061022900,Census Tract 229,82,-121.27693784393585,38.80003440827851,0.6778768888412293,1272.0,240.0,191.0,221.0,191.0,0.0,3049.0
06061023600,Census Tract 236,83,-121.26384537285993,38.856860905858895,1.7317160243335301,20.0,0.0,0.0,0.0,0.0,0.0,47.0
06061022500,Census Tract 225,84,-121.36400052365614,38.739144170267366,5.22132113816072,459.0,13.0,15.0,51.0,43.0,0.0,1099.0
06061020805,Census Tract 208.05,85,-121.29332365955806,38.72893946028458,0.8054699266971687,5407.0,129.0,52.0,169.0,92.0,159.0,12961.0
06061021131,Census Tract 211.31,86,-121.26169287999527,38.803937861052106,0.7057526267191022,1045.0,43.0,63.0,226.0,19.0,0.0,2504.0
06061021128,Census Tract 211.28,87,-121.26118222668778,38.78723466231482,0.46285411012095384,478.0,47.0,64.0,0.0,55.0,0.0,1145.0
06061022100,Census Tract 221,88,-120.20582757094228,39.11788499725786,23.21771080668647,223.0,34.0,6.0,26.0,46.0,0.0,534.0
06061022800,Census Tract 228,89,-121.27772570995197,38.78910068263139,1.1609198506866356,3788.0,2256.0,115.0,39.0,701.0,0.0,9080.0
06061023100,Census Tract 231,90,-121.33073626548237,38.80097647445867,1.76107160244462,2255.0,34.0,162.0,73.0,88.0,0.0,5405.0
06061023300,Census Tract 233,91,-121.31789341458952,38.87590142921107,2.05238277284323,499.0,90.0,116.0,24.0,109.0,0.0,1195.0
06061022300,Census Tract 223,92,-120.17305749846979,39.071871068281,10.97175773802301,382.0,13.0,3.0,0.0,28.0,0.0,915.0
